ticker,stage,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days,sector
068270,B,2024-01-02,187209.0,2024-01-11,182517.39,73,-397508.84548649937,-0.029053473486981198,STOP_LOSS,9,제약
003920,B,2024-01-03,61000.0,2024-01-17,58728.97,227,-570775.7147604991,-0.04117282275383303,STOP_LOSS,14,음식료·담배
170900,B,2024-01-03,69446.0,2024-01-17,67938.77,200,-357502.4542999994,-0.025710033603912264,STOP_LOSS,14,제약
000660,B,2024-01-03,140000.0,2024-01-17,138071.0,99,-247233.63554999977,-0.01781743459307509,STOP_LOSS,14,전기·전자
003090,B,2024-01-04,20950.0,2024-01-17,20512.3,649,-338975.1564650014,-0.024902330577592433,STOP_LOSS,13,제약
326030,B,2024-01-04,102800.0,2024-01-17,100856.0,132,-311486.3663999997,-0.02292835223928278,STOP_LOSS,13,일반서비스
323410,B,2024-01-12,29700.0,2024-01-17,28941.0,451,-396217.45844999887,-0.029546188549834273,STOP_LOSS,5,은행
210980,B,2023-11-23,16464.0,2024-01-18,16011.63,832,-431423.539872,-0.031459078892364156,STOP_LOSS,56,부동산
272210,B,2023-12-12,16110.0,2024-01-29,15734.1,857,-377801.67541499995,-0.027333066972981067,STOP_LOSS,48,전기·전자
000120,B,2023-12-01,114000.0,2024-01-30,137100.0,119,2685170.1449999996,0.19770645336810033,MAX_HOLD,60,운송·창고
000240,B,2023-12-01,14760.0,2024-01-30,16000.0,926,1088814.8760000002,0.07957150090404166,MAX_HOLD,60,기타금융
138040,B,2024-02-01,69000.0,2024-02-06,67120.0,137,-295557.4979999997,-0.031230085401787913,STOP_LOSS,5,기타금융
039130,B,2024-02-01,63100.0,2024-02-07,61065.0,150,-343156.01249999925,-0.03621361187407849,STOP_LOSS,6,일반서비스
180640,B,2023-12-13,56900.0,2024-02-13,79500.0,242,5396609.68,0.39146615838183274,MAX_HOLD,62,기타금융
000240,B,2024-02-05,19200.0,2024-02-14,17401.2,693,-1297443.9832199998,-0.09739911289517054,STOP_LOSS,9,기타금융
085620,B,2024-02-06,6320.0,2024-02-26,5105.0,2060,-2548895.165000001,-0.19555481923635928,STOP_LOSS,20,보험
000210,B,2024-02-05,57400.0,2024-02-27,49060.0,231,-1975220.2470000014,-0.14879642766219553,STOP_LOSS,22,화학
000120,B,2024-02-05,146000.0,2024-02-29,122840.0,91,-2155815.2980000004,-0.16207579092263077,STOP_LOSS,24,운송·창고
003090,B,2024-02-05,25850.0,2024-03-07,21450.0,514,-2309404.5700000003,-0.17361098566435834,STOP_LOSS,31,제약
005680,B,2024-02-05,11140.0,2024-03-12,9326.0,1194,-2214061.3038,-0.16626505192278432,STOP_LOSS,36,전기·전자
294870,B,2024-02-28,19240.0,2024-03-12,16598.0,673,-1825909.6372999996,-0.14085102028716867,STOP_LOSS,13,건설
251270,B,2024-02-27,64800.0,2024-03-15,59100.0,199,-1183824.1349999998,-0.09169801949979743,SOFT_STOP,17,IT 서비스
015760,B,2024-03-18,24850.0,2024-03-19,22400.0,526,-1338489.8450000007,-0.10228307868486457,SOFT_STOP,1,전기·가스
000815,B,2024-03-22,250500.0,2024-04-01,217400.0,52,-1769529.0600000005,-0.13568988477621996,STOP_LOSS,10,보험
082640,B,2024-03-07,6390.0,2024-04-02,5242.25,2045,-2393801.6161875,-0.18297629674231441,STOP_LOSS,26,보험
000270,B,2024-02-05,119600.0,2024-04-03,101992.5,111,-2003096.8841249999,-0.1507122818374254,STOP_LOSS,58,운송장비·부품
073240,B,2024-02-05,6210.0,2024-04-05,5610.0,2143,-1336569.813000001,-0.10031796767051232,MAX_HOLD,60,화학
259960,B,2024-02-05,221000.0,2024-04-05,249500.0,60,1650589.5,0.12433585991494397,MAX_HOLD,60,IT 서비스
028260,B,2024-02-05,148700.0,2024-04-05,149300.0,89,-1018.160000000149,-7.684505119046972e-05,MAX_HOLD,60,유통
086790,B,2024-02-05,55800.0,2024-04-05,57100.0,238,254037.63000000082,0.0191067906316339,MAX_HOLD,60,기타금융
267260,B,2024-02-07,106700.0,2024-04-08,193900.0,123,10640150.670000002,0.8098024666198073,MAX_HOLD,61,전기·전자
