date,equity,cash,n_positions,exposure
2025-02-21,167182987.00989228,133414827.00989228,3,0.20198323169092514
2025-02-24,168012057.00989228,133414827.00989228,3,0.2059211143279019
2025-02-25,168854027.00989228,133414827.00989228,3,0.20988069178784702
2025-02-26,168539177.00989228,133414827.00989228,3,0.20840466070353722
2025-02-27,168720387.00989228,133414827.00989228,3,0.2092548542929195
2025-02-28,167610748.5707923,167610748.5707923,0,0.0
2025-03-04,168856346.29579228,132612046.29579228,3,0.2146457672162907
2025-03-05,169241146.29579228,132612046.29579228,3,0.21643141045606756
2025-03-06,169140268.8417923,154884268.8417923,1,0.08428507355238124
2025-03-07,168895468.8417923,154884268.8417923,1,0.0829578205743611
2025-03-10,168931468.8417923,154884268.8417923,1,0.08315324608439582
2025-03-11,168816268.8417923,154884268.8417923,1,0.08252759106444
2025-03-12,168830668.8417923,154884268.8417923,1,0.08260584463518818
2025-03-13,169392268.8417923,154884268.8417923,1,0.08564735627663192
2025-03-14,169572268.8417923,154884268.8417923,1,0.08661793641331547
2025-03-17,169608268.8417923,154884268.8417923,1,0.0868118052294626
2025-03-18,169932268.8417923,154884268.8417923,1,0.0885529281905237
2025-03-19,169716268.8417923,154884268.8417923,1,0.087392918199411
2025-03-20,169644268.8417923,154884268.8417923,1,0.08700559176428739
2025-03-21,169680268.8417923,154884268.8417923,1,0.08719929607016123
2025-03-24,169630648.2417923,143026648.2417923,2,0.15683486607961633
2025-03-25,167626648.2417923,143026648.2417923,2,0.146754709099211
2025-03-26,168087448.2417923,143026648.2417923,2,0.14909382147291725
2025-03-27,167374648.2417923,143026648.2417923,2,0.14547005926982717
2025-03-28,166852038.6237923,131317878.62379229,3,0.21296809012996382
2025-03-31,167315406.1257023,154139406.1257023,1,0.07874947265825008
2025-04-01,167718606.1257023,154139406.1257023,1,0.08096418348374906
2025-04-02,167171406.1257023,154139406.1257023,1,0.0779559154404717
2025-04-03,167819406.1257023,154139406.1257023,1,0.08151619836953318
2025-04-04,167207406.1257023,154139406.1257023,1,0.07815443288544174
2025-04-07,166458606.1257023,154139406.1257023,1,0.07400758835320942
2025-04-08,166645806.1257023,154139406.1257023,1,0.07504779322538918
2025-04-09,167178606.1257023,154139406.1257023,1,0.07799562576921937
2025-04-10,167776206.1257023,154139406.1257023,1,0.08127970178192583
2025-04-11,167495406.1257023,154139406.1257023,1,0.07973950037755997
2025-04-14,167697006.1257023,154139406.1257023,1,0.0808458082420237
2025-04-15,168172206.1257023,154139406.1257023,1,0.08344303927077593
2025-04-16,167581806.1257023,154139406.1257023,1,0.0802139582498408
2025-04-17,167589006.1257023,154139406.1257023,1,0.08025347432344072
2025-04-18,167589006.1257023,154139406.1257023,1,0.08025347432344072
2025-04-21,167092206.1257023,154139406.1257023,1,0.07751887595676187
2025-04-22,167092206.1257023,154139406.1257023,1,0.07751887595676187
2025-04-23,167272206.1257023,154139406.1257023,1,0.07851154895470751
2025-04-24,167149806.1257023,154139406.1257023,1,0.07783676392789675
2025-04-25,167049006.1257023,154139406.1257023,1,0.07728031611445618
2025-04-28,166977006.1257023,154139406.1257023,1,0.07688244206711732
2025-04-29,167077806.1257023,154139406.1257023,1,0.07743936971656004
2025-04-30,166883406.1257023,154139406.1257023,1,0.07636469254708754
2025-05-02,166702535.5612023,145807605.5612023,2,0.12534260459600954
2025-05-07,166847316.9612023,158478116.9612023,1,0.050160830587081755
2025-05-08,166706406.9612023,158478116.9612023,1,0.04935797099816911
2025-05-09,167058620.9287023,19321720.928702295,13,0.8843416710775527
2025-05-12,163403952.5287023,30042002.528702296,12,0.8161488625960541
2025-05-13,164389862.0156523,26529812.0156523,12,0.8386164956259512
2025-05-14,166101112.0156523,26529812.0156523,12,0.840279142663703
2025-05-15,167407974.6656523,15528174.6656523,13,0.9072435187352023
2025-05-16,170231774.6656523,15528174.6656523,13,0.908782160697374
2025-05-19,169430374.6656523,15528174.6656523,13,0.9083507033712518
2025-05-20,168933874.6656523,15528174.6656523,13,0.9080813442751781
2025-05-21,171964424.6656523,15528174.6656523,13,0.9097012379400944
2025-05-22,170151374.6656523,15528174.6656523,13,0.9087390584051103
2025-05-23,173188424.6656523,15528174.6656523,13,0.9103394196486855
2025-05-26,177105324.6656523,15528174.6656523,13,0.9123223726053007
2025-05-27,181385474.6656523,15528174.6656523,13,0.9143913001067182
2025-05-28,179281474.6656523,15528174.6656523,13,0.913386619032383
2025-05-29,186893874.6656523,15528174.6656523,13,0.9169144805123669
2025-05-30,186379924.6656523,15528174.6656523,13,0.9166853689124064
2025-06-02,189363374.6656523,15528174.6656523,13,0.917998004138501
2025-06-04,198444824.6656523,15528174.6656523,13,0.9217506695283447
2025-06-05,196994574.6656523,15528174.6656523,13,0.9211746075139003
2025-06-09,196273224.6656523,15528174.6656523,13,0.9208849057628504
2025-06-10,201022924.6656523,15528174.6656523,13,0.9227542097923446
2025-06-11,201644974.6656523,15528174.6656523,13,0.9229925035751594
2025-06-12,204949924.6656523,15528174.6656523,13,0.9242342992270702
2025-06-13,204453074.6656523,15528174.6656523,13,0.9240501778168612
2025-06-16,215029524.6656523,15528174.6656523,13,0.9277858485256992
2025-06-17,215017574.6656523,15528174.6656523,13,0.9277818350904651
2025-06-18,213471024.6656523,15528174.6656523,13,0.9272586305800836
2025-06-19,219251174.6656523,15528174.6656523,13,0.9291763216806841
2025-06-20,218731924.6656523,15528174.6656523,13,0.9290081926111688
2025-06-23,222013324.6656523,15528174.6656523,13,0.9300574652938628
2025-06-24,222163124.6656523,15528174.6656523,13,0.9301046260984056
2025-06-25,222609624.6656523,15528174.6656523,13,0.9302448189786278
2025-06-26,221385824.6656523,15528174.6656523,13,0.9298592189039036
2025-06-27,221034424.6656523,15528174.6656523,13,0.9297477092577728
2025-06-30,223629124.6656523,15528174.6656523,13,0.9305628249948729
2025-07-01,227131324.6656523,15528174.6656523,13,0.9316334957826249
2025-07-02,220323517.2906523,26498217.290652297,12,0.8797304181754884
2025-07-03,216456065.6906523,11697215.690652298,13,0.9459603238498784
2025-07-04,215745342.7331523,215745342.7331523,0,0.0
2025-07-07,215745342.7331523,215745342.7331523,0,0.0
2025-07-08,215745342.7331523,215745342.7331523,0,0.0
2025-07-09,215745342.7331523,215745342.7331523,0,0.0
2025-07-10,215745342.7331523,215745342.7331523,0,0.0
2025-07-11,215745342.7331523,215745342.7331523,0,0.0
2025-07-14,215745342.7331523,215745342.7331523,0,0.0
2025-07-15,215745342.7331523,215745342.7331523,0,0.0
2025-07-16,215745342.7331523,215745342.7331523,0,0.0
2025-07-17,215745342.7331523,215745342.7331523,0,0.0
2025-07-18,215745342.7331523,215745342.7331523,0,0.0
2025-07-21,215745342.7331523,215745342.7331523,0,0.0
2025-07-22,215745342.7331523,215745342.7331523,0,0.0
2025-07-23,215745342.7331523,215745342.7331523,0,0.0
2025-07-24,215745342.7331523,215745342.7331523,0,0.0
2025-07-25,215745342.7331523,215745342.7331523,0,0.0
2025-07-28,215745342.7331523,215745342.7331523,0,0.0
2025-07-29,215745342.7331523,215745342.7331523,0,0.0
2025-07-30,215745342.7331523,215745342.7331523,0,0.0
2025-07-31,215745342.7331523,215745342.7331523,0,0.0
2025-08-01,215745342.7331523,215745342.7331523,0,0.0
2025-08-04,215745342.7331523,215745342.7331523,0,0.0
2025-08-05,215745342.7331523,215745342.7331523,0,0.0
2025-08-06,215923874.1681523,170590374.1681523,3,0.20995130887979624
2025-08-07,214471805.5131523,140496105.5131523,5,0.34492039558767784
2025-08-08,214171058.5056523,110768908.5056523,7,0.4828016946896262
2025-08-11,212366728.5784523,109174778.57845229,7,0.48591392206655826
2025-08-12,209158826.1284523,80879276.12845229,9,0.6133116750292847
2025-08-13,210685876.1284523,80879276.12845229,9,0.6161143897508284
2025-08-14,208902663.0709523,66242413.07095229,10,0.6829029745376988
2025-08-18,208964924.92315227,79684724.92315228,9,0.6186693773969164
2025-08-19,205763920.7641523,94040270.76415229,8,0.5429700677606073
2025-08-20,207467026.2079023,191842276.2079023,1,0.07531196781286327
2025-08-21,207504676.2079023,191842276.2079023,1,0.07547974477600489
2025-08-22,207354076.2079023,191842276.2079023,1,0.07480827135728543
2025-08-25,207316426.2079023,191842276.2079023,1,0.07464025057272654
2025-08-26,207542326.2079023,191842276.2079023,1,0.07564746086671842
2025-08-27,207278776.2079023,191842276.2079023,1,0.07447216874976656
2025-08-28,207961837.35790232,178227637.35790232,2,0.14297911760044438
2025-08-29,208268418.31290233,163672618.31290233,3,0.21412656014412756
2025-09-01,207159589.09690234,91233569.09690234,8,0.559597653699601
2025-09-02,205352280.34690234,77192440.34690234,9,0.6240974767044181
2025-09-03,205841159.95690233,62897419.95690234,10,0.6944371088363893
2025-09-04,204638089.95690233,62897419.95690234,10,0.6926407006137089
2025-09-05,205714859.95690233,62897419.95690234,10,0.6942495064766859
2025-09-08,206821409.95690233,62897419.95690234,10,0.6958853536004374
2025-09-09,207650389.95690233,62897419.95690234,10,0.697099437328499
2025-09-10,207899309.95690233,62897419.95690234,10,0.6974621033136618
2025-09-11,208815179.95690233,62897419.95690234,10,0.6987890441208162
2025-09-12,207957819.95690233,62897419.95690234,10,0.6975472239036872
2025-09-15,207922294.30390233,19451294.303902343,13,0.9064492128224017
2025-09-16,208841744.30390233,19451294.303902343,13,0.9068610810126294
2025-09-17,207468004.30390233,19451294.303902343,13,0.9062443658762448
2025-09-18,208963304.30390233,19451294.303902343,13,0.9069152626165708
2025-09-19,206101304.30390233,19451294.303902343,13,0.9056226530462862
2025-09-22,206291494.30390233,19451294.303902343,13,0.9057096640385606
2025-09-23,205564524.30390233,19451294.303902343,13,0.9053762103662112
2025-09-24,202134874.30390233,19451294.303902343,13,0.903770715613091
2025-09-25,199718148.13683984,30581048.136839844,12,0.8468789720807607
2025-09-26,203380500.95255983,156302490.95255983,3,0.2314775004462268
2025-09-29,203734980.84355983,142016420.84355983,4,0.3029355083965246
2025-09-30,203326640.84355983,142016420.84355983,4,0.30153559683884357
2025-10-01,203343009.31740984,155643399.31740984,3,0.23457708312727352
2025-10-02,204533376.27740985,127321266.27740985,5,0.37750371800090343
2025-10-10,206480382.41240984,113908542.41240984,6,0.4483323738480071
2025-10-13,205383822.41240984,113908542.41240984,6,0.44538697802750027
2025-10-14,203727832.09003484,141512572.09003484,4,0.3053841949906225
2025-10-15,204615952.09003484,141512572.09003484,4,0.3083991221380107
2025-10-16,204836124.49003485,128273364.49003485,5,0.37377567160388614
2025-10-17,203556904.49003485,128273364.49003485,5,0.3698402674603726
2025-10-20,205197224.49003485,128273364.49003485,5,0.37487768263520405
2025-10-21,204414643.43003485,85579923.43003485,8,0.5813415223389984
2025-10-22,205394803.43003485,85579923.43003485,8,0.5833393932033604
2025-10-23,206436423.43003485,85579923.43003485,8,0.5854417451722638
2025-10-24,208913843.43003485,85579923.43003485,8,0.5903578143748262
2025-10-27,215080623.43003485,85579923.43003485,8,0.6021030529610969
2025-10-28,214765563.43003485,85579923.43003485,8,0.6015193401435859
2025-10-29,216849203.43003485,85579923.43003485,8,0.6053482232059629
2025-10-30,218110603.43003485,85579923.43003485,8,0.6076306145405396
2025-10-31,218382811.67753485,54995441.67753484,10,0.7481695502723841
2025-11-03,225238593.12253484,22776133.122534834,12,0.8988799707599661
2025-11-04,218920671.15693483,81608831.15693483,8,0.6272219031411933
2025-11-05,212260828.73463482,124943808.73463482,5,0.41136662153129716
2025-11-06,214777423.8346348,110000643.83463481,6,0.4878388898112102
2025-11-07,210763163.8346348,110000643.83463481,6,0.4780841118852176
2025-11-10,213125503.8346348,110000643.83463481,6,0.48386916696753063
2025-11-11,211548998.23463482,95439918.23463482,7,0.5488519490469069
2025-11-12,211885018.23463482,95439918.23463482,7,0.5495674067481843
2025-11-13,213634090.35463482,80511570.35463482,8,0.6231333200568094
2025-11-14,208090044.49093485,139054244.49093485,4,0.33175926397097505
