date,ticker,stage,reason
2023-08-01,096770,B,TOTAL_EXP (100.0%>95%)
2023-08-02,082740,B,TOTAL_EXP (95.2%>95%)
2023-08-02,900140,B,TOTAL_EXP (95.2%>95%)
2023-08-02,000100,B,TOTAL_EXP (95.1%>95%)
2023-12-01,272210,B,TOTAL_EXP (97.7%>95%)
2023-12-01,026940,B,TOTAL_EXP (97.7%>95%)
2023-12-04,272210,B,TOTAL_EXP (97.9%>95%)
2023-12-05,026940,B,TOTAL_EXP (99.2%>95%)
2024-01-02,000270,B,TOTAL_EXP (95.2%>95%)
2024-01-02,170900,B,TOTAL_EXP (95.2%>95%)
2024-01-02,128940,B,TOTAL_EXP (95.2%>95%)
2024-01-02,000660,B,TOTAL_EXP (95.1%>95%)
2024-01-02,326030,B,TOTAL_EXP (95.2%>95%)
2024-01-03,128940,B,SECTOR_CAP (제약)
2024-01-03,014680,B,TOTAL_EXP (96.1%>95%)
2024-01-03,326030,B,TOTAL_EXP (96.1%>95%)
2024-01-04,128940,B,SECTOR_CAP (제약)
2024-02-05,005440,B,SECTOR_CAP (기타금융)
2024-02-05,085620,B,TOTAL_EXP (96.2%>95%)
2024-02-06,267250,B,SECTOR_EXP (30.4%>30%)
2024-02-06,005440,B,SECTOR_EXP (30.4%>30%)
2024-02-07,005440,B,SECTOR_EXP (30.2%>30%)
2024-02-08,294870,B,TOTAL_EXP (100.0%>95%)
2024-02-08,005440,B,SECTOR_EXP (30.8%>30%)
2024-02-13,251270,B,TOTAL_EXP (97.4%>95%)
2024-02-16,251270,B,TOTAL_EXP (97.7%>95%)
2024-02-19,294870,B,TOTAL_EXP (97.8%>95%)
2024-02-19,251270,B,TOTAL_EXP (97.8%>95%)
2024-02-20,294870,B,TOTAL_EXP (97.8%>95%)
2024-02-21,294870,B,TOTAL_EXP (97.7%>95%)
2024-02-21,011280,B,TOTAL_EXP (97.7%>95%)
2024-02-23,294870,B,TOTAL_EXP (97.8%>95%)
2024-03-04,003570,B,TOTAL_EXP (100.0%>95%)
2024-03-04,082640,B,TOTAL_EXP (100.0%>95%)
2024-03-04,006800,B,TOTAL_EXP (100.0%>95%)
