date,equity,n_positions
2023-11-17,88709030.41552748,0
2023-11-20,89336885.41552748,0
2023-11-21,89746040.91552748,0
2023-11-22,90185460.4144775,0
2023-11-23,90262081.71447748,0
2023-11-24,89920703.01447748,0
2023-11-27,90218539.41447748,0
2023-11-28,90825422.21447748,0
2023-11-29,89733915.9144775,0
2023-11-30,89894883.91447748,0
2023-12-01,89993174.71447748,0
2023-12-04,90549663.81447749,0
2023-12-05,90481412.01447748,0
2023-12-06,90644743.61447749,0
2023-12-07,89876636.8844775,0
2023-12-08,90002823.48447748,0
2023-12-11,89779655.18447748,0
2023-12-12,90460335.88447748,0
2023-12-13,89782843.38447748,0
2023-12-14,89810537.18388748,0
2023-12-15,89657964.6929875,0
2023-12-18,88829042.1929875,0
2023-12-19,88969195.6929875,0
2023-12-20,89880274.1929875,0
2023-12-21,89255342.5667125,0
2023-12-22,88825421.89546248,0
2023-12-26,89461389.89546248,0
2023-12-27,89013882.8954625,0
2023-12-28,90648224.8954625,0
2024-01-02,90042257.89546248,0
2024-01-03,88515940.39546248,0
2024-01-04,88194460.3954625,0
2024-01-05,87737168.39546248,0
2024-01-08,87708580.72946249,0
2024-01-09,87519863.22946249,0
2024-01-10,87515574.57321249,0
2024-01-11,86991542.2194125,0
2024-01-12,86889588.21941249,0
2024-01-15,87375950.21941249,0
2024-01-16,86771626.71941249,0
2024-01-17,85652592.1554125,0
2024-01-18,86209145.19041248,0
2024-01-19,86959205.34041248,0
2024-01-22,86842345.84041248,0
2024-01-23,87369690.84041248,0
2024-01-24,87001369.24883749,0
2024-01-25,88480006.2488375,0
2024-01-26,88937003.7488375,0
2024-01-29,89807631.2488375,0
2024-01-30,89647898.24883749,0
2024-01-31,90600624.74883749,0
2024-02-01,92578087.74883749,0
2024-02-02,95481981.24883749,0
2024-02-05,94890435.24883749,0
2024-02-06,94676466.7488375,0
2024-02-07,96307654.74883749,0
2024-02-08,96343422.2488375,0
2024-02-13,96108401.74883749,0
2024-02-14,95179292.24883749,0
2024-02-15,94438477.30883747,0
2024-02-16,96780607.30883747,0
2024-02-19,98286680.30883749,0
2024-02-20,96708621.89008749,0
2024-02-21,96936735.89008749,0
2024-02-22,97936724.89008749,0
2024-02-23,98719287.39008749,0
2024-02-26,97351312.47246248,0
2024-02-27,96563961.97246248,0
2024-02-28,97491731.97246248,0
2024-02-29,97332777.97246248,0
2024-03-04,97839389.81146249,0
2024-03-05,97587069.8114625,0
2024-03-06,97358670.8114625,0
2024-03-07,97492440.31146249,0
2024-03-08,98457716.31146249,0
2024-03-11,97884220.3114625,0
2024-03-12,97518796.88346247,0
2024-03-13,97588059.48346248,0
2024-03-14,99457706.9834625,0
2024-03-15,98224673.48346248,0
2024-03-18,98309470.4834625,0
2024-03-19,97449948.48346248,0
2024-03-20,98083740.98346248,0
2024-03-21,100379358.98346248,0
2024-03-22,100454209.48346248,0
2024-03-25,100040275.48346248,0
2024-03-26,100635906.48346248,0
2024-03-27,99955450.47176251,0
2024-03-28,99194063.47176252,0
2024-03-29,98088761.1530125,0
2024-04-01,97309600.97351249,0
2024-04-02,96553942.47351249,0
2024-04-03,95411524.9135125,0
2024-04-04,96542091.4135125,0
2024-04-05,96312959.22726251,0
2024-04-08,96757749.2272625,0
2024-04-09,96331389.2272625,0
2024-04-11,95754767.7272625,0
2024-04-12,94111113.7037625,0
2024-04-15,94529540.9805125,0
2024-04-16,93873062.4805125,0
2024-04-17,93181709.48051251,0
2024-04-18,93963682.98051251,0
2024-04-19,93282850.0358875,0
2024-04-22,94935755.03588751,0
2024-04-23,95629378.5358875,0
2024-04-24,95956929.0358875,0
2024-04-25,95965830.5358875,0
2024-04-26,96446812.2611425,0
2024-04-29,97084724.91114248,0
2024-04-30,96687067.2611425,0
2024-05-02,95178842.3971425,0
2024-05-03,95057571.09714249,0
2024-05-07,96251561.49714248,0
2024-05-08,97238065.24714248,0
2024-05-09,96187502.99714248,0
2024-05-10,97496664.74714248,0
2024-05-13,97856902.84714249,0
2024-05-14,97691417.59714249,0
2024-05-16,98423827.69714248,0
2024-05-17,97385983.09714249,0
2024-05-20,98071259.8971425,0
2024-05-21,98006441.39714248,0
2024-05-22,97176650.59714249,0
2024-05-23,96383049.09714249,0
2024-05-24,96063235.39714248,0
2024-05-27,96260797.3971425,0
2024-05-28,95705651.4014425,0
2024-05-29,95602772.10144249,0
2024-05-30,94695052.9059425,0
2024-05-31,96150073.8559425,0
2024-06-03,96866128.7559425,0
2024-06-04,96639512.6731925,0
2024-06-05,95520648.92014249,0
2024-06-07,96209161.42014249,0
2024-06-10,96216262.93614249,0
2024-06-11,95951568.23614249,0
2024-06-12,96103832.33614248,0
2024-06-13,96016261.33614248,0
2024-06-14,95222901.1361425,0
2024-06-17,95885201.68264249,0
2024-06-18,96514106.4326425,0
2024-06-19,96819317.68264249,0
2024-06-20,97557858.1326425,0
2024-06-21,97112007.93264249,0
2024-06-24,96220414.01814249,0
2024-06-25,96442934.70314248,0
2024-06-26,96805565.8531425,0
2024-06-27,96029777.6981675,0
2024-06-28,96874199.4481675,0
2024-07-01,96112373.43202999,0
2024-07-02,96481776.18202999,0
2024-07-03,97196218.93202999,0
2024-07-04,97715588.68202999,0
2024-07-05,98345300.93202999,0
2024-07-08,97534086.43202999,0
2024-07-09,96823239.43202999,0
2024-07-10,96724064.18203,0
2024-07-11,97567526.43202999,0
2024-07-12,97771047.36402999,0
2024-07-15,97678298.86402999,0
2024-07-16,98402046.86402999,0
2024-07-17,98788359.61403,0
2024-07-18,98974445.61402999,0
2024-07-19,98293606.59177999,0
2024-07-22,98441887.34177999,0
2024-07-23,98322686.09177999,0
2024-07-24,97917188.09177999,0
2024-07-25,96693474.09177999,0
2024-07-26,98309979.84177999,0
2024-07-29,99963654.34177999,0
2024-07-30,98945495.9910475,0
2024-07-31,100609677.4910475,0
2024-08-01,100153544.4910475,0
2024-08-02,97379103.4582975,0
2024-08-05,91973293.42769751,0
2024-08-06,93217339.8406975,0
2024-08-07,93649057.8406975,0
2024-08-08,94025034.2866975,0
2024-08-09,94204546.2866975,0
2024-08-12,94302187.2866975,0
2024-08-13,94636397.28669752,0
2024-08-14,94634326.2866975,0
2024-08-16,94865138.28669752,0
2024-08-19,95208848.2866975,0
2024-08-20,95804384.2866975,0
2024-08-21,95849832.2866975,0
2024-08-22,95614327.2866975,0
2024-08-23,96090416.1291975,0
2024-08-26,96427533.1291975,0
2024-08-27,96372243.1291975,0
2024-08-28,95893633.1291975,0
2024-08-29,95472302.9493225,0
2024-08-30,94818588.9493225,0
2024-09-02,95124194.4493225,0
2024-09-03,95983060.9493225,0
2024-09-04,94372677.94932252,0
2024-09-05,94150795.9493225,0
2024-09-06,93659131.6430725,0
2024-09-09,93211149.64307252,0
2024-09-10,93775953.14307252,0
2024-09-11,91892416.6430725,0
2024-09-12,93024246.6430725,0
2024-09-13,94578570.1430725,0
2024-09-19,95815859.64307252,0
2024-09-20,94913103.1430725,0
2024-09-23,94167217.36432251,0
2024-09-24,95013686.36432251,0
2024-09-25,92589428.20312251,0
2024-09-26,95067104.20312253,0
2024-09-27,94123383.70312253,0
2024-09-30,93216865.20312251,0
2024-10-02,92497903.6949975,0
2024-10-04,92751873.6851125,0
2024-10-07,92931900.5851125,0
2024-10-08,92301143.3351125,0
2024-10-10,92720978.7351125,0
2024-10-11,93110039.3031125,0
2024-10-14,94096731.1531125,0
2024-10-15,94513315.6531125,0
2024-10-16,95054357.7531125,0
2024-10-17,95129871.3531125,0
2024-10-18,95741614.3531125,0
2024-10-21,95794968.2531125,0
2024-10-22,96036878.1531125,0
2024-10-23,95504764.15311252,0
2024-10-24,95859554.9531125,0
2024-10-25,96814129.2031125,0
2024-10-28,95941791.7221125,0
2024-10-29,96108272.5721125,0
2024-10-30,95061207.27211252,0
2024-10-31,93752541.46961251,0
2024-11-01,94140245.0196125,0
2024-11-04,94336811.4196125,0
2024-11-05,94040817.9293625,0
2024-11-06,94424774.6793625,0
2024-11-07,93270233.0293625,0
2024-11-08,93274255.32936253,0
2024-11-11,93101024.10236251,0
2024-11-12,92402876.70236251,0
2024-11-13,90462241.203385,0
2024-11-14,90753157.84276251,0
2024-11-15,90488527.74276252,0
2024-11-18,91788272.14276251,0
2024-11-19,91862419.64276251,0
2024-11-20,92712236.44276252,0
2024-11-21,92751737.44276251,0
2024-11-22,93041297.44276251,0
2024-11-25,92928646.44276251,0
2024-11-26,92826920.44276252,0
2024-11-27,93997567.44276251,0
2024-11-28,94215392.94276251,0
2024-11-29,93220210.94276251,0
2024-12-02,93751631.44276252,0
2024-12-03,95775359.44276251,0
2024-12-04,93375087.04501,0
2024-12-05,91310070.50601,0
2024-12-06,90789366.95601,0
2024-12-09,88592205.15576,0
2024-12-10,89001550.65576,0
2024-12-11,89387297.20576,0
2024-12-12,90254379.30576,0
2024-12-13,90852612.35576,0
2024-12-16,90660056.85576,0
2024-12-17,90171839.50576,0
2024-12-18,91093909.50576001,0
2024-12-19,90584046.40576,0
2024-12-20,89750547.75576,0
2024-12-23,90886100.80576001,0
2024-12-24,91071634.85576,0
2024-12-26,90600064.35576001,0
2024-12-27,90002107.48976,0
2024-12-30,90061628.78976,0
2025-01-02,90882611.18976,0
2025-01-03,91076471.98976,0
2025-01-06,90512345.83976,0
2025-01-07,91394867.21246,0
2025-01-08,90856725.379335,0
2025-01-09,91177034.97933501,0
2025-01-10,91453842.179335,0
2025-01-13,92022670.829335,0
2025-01-14,92260601.179335,0
2025-01-15,92936770.329335,0
2025-01-16,93404432.529335,0
2025-01-17,93589837.379335,0
2025-01-20,93467505.87933502,0
2025-01-21,94155345.779335,0
2025-01-22,94371286.47933501,0
2025-01-23,94459634.579335,0
2025-01-24,95308638.179335,0
2025-01-31,96726764.92933501,0
2025-02-03,95498503.279335,0
2025-02-04,95461956.779335,0
2025-02-05,96180105.47933501,0
2025-02-06,95447515.829335,0
2025-02-07,94744380.929335,0
2025-02-10,94405681.22933501,0
2025-02-11,94480558.45331,0
2025-02-12,94629463.28681,0
2025-02-13,95026580.38681,0
2025-02-14,95940582.98681001,0
2025-02-17,96790687.63681002,0
2025-02-18,96877137.63681,0
2025-02-19,97269338.48681001,0
2025-02-20,97218389.98681,0
2025-02-21,97224711.28681,0
2025-02-24,97265976.43681,0
2025-02-25,96733150.88681,0
2025-02-26,97030832.43681002,0
2025-02-27,96668888.13681,0
2025-02-28,94886735.54371,0
2025-03-04,94809936.59371,0
2025-03-05,94929890.16296001,0
2025-03-06,95710261.96296,0
2025-03-07,94143768.01296,0
2025-03-10,94409896.26296,0
