code,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,hold_days,exit_reason,q_score
034730,20231103,20240102,155811.0,178203.878,28,617270.6522611994,0.14148795937321484,40,TP,45.0
068270,20231213,20240102,165645.63,201935.23588285717,27,969187.4686679114,0.21670256059810095,12,TP,61.25
068760,20231214,20240102,81706.086,104820.59611371427,53,1214235.8274185034,0.2803966151467899,11,TP,65.0
003490,20231129,20240103,22144.2,22954.0,199,152242.90029999986,0.03454808482582344,23,MA20,57.5
004490,20231207,20240103,56312.4,56586.6,78,12780.778140000068,0.0029097699618556632,17,MA20,57.5
021240,20231211,20240103,54108.0,54890.0,78,52647.23099999968,0.012474393804982551,15,MA20,61.25
055550,20231221,20240103,39378.6,37824.2,120,-195378.86280000024,-0.041346243645025524,7,MA20,43.75
003670,20231226,20240103,337995.642,321168.376,13,-226896.07633160008,-0.05163837092668788,5,MA20,57.5
000210,20231227,20240103,51202.2,49151.5,86,-184602.90655000042,-0.04192291395682226,4,MA20,61.25
006800,20240102,20240103,7535.04,7205.56,706,-242532.77445199993,-0.04559111059795301,2,MA20,61.25
011210,20231218,20240104,62023.8,60878.0,70,-88515.84699999914,-0.020387530270637846,11,MA20,61.25
006260,20231227,20240104,91382.4,87724.2,48,-183804.58511999995,-0.04190371657999789,5,MA20,57.5
009540,20231227,20240104,117033.6,111776.0,37,-202595.83840000024,-0.04678624941897033,5,MA20,55.0
047050,20240102,20240104,59318.4,57584.6,89,-164302.0073300004,-0.03112170877838924,3,MA20,53.75
005380,20240103,20240104,194187.6,189620.0,23,-113559.25700000022,-0.0254257171930649,2,MA20,61.25
090430,20240103,20240104,134969.4,130139.2,33,-167771.05752000026,-0.03766758568979345,2,MA20,61.25
028260,20240103,20240104,128656.8,126845.8,35,-72042.22585000005,-0.015998760345352917,2,MA20,43.75
034730,20240103,20240104,177153.6,171157.0,25,-158258.90375000052,-0.035733714415061395,2,MA20,43.75
009150,20231219,20240105,150099.6,148901.6,28,-41674.02735999925,-0.009915803373226666,11,MA20,61.25
005850,20240104,20240105,33516.9,33133.6,132,-59124.18863999937,-0.013363721585229995,2,MA20,57.5
035420,20231103,20240108,200901.0,228835.26942857145,21,577248.8537169006,0.1368238119929007,44,TP,39.0
000660,20231219,20240108,138476.4,135728.0,31,-93405.15759999957,-0.02175872278597643,12,MA20,61.25
000270,20240103,20240108,93987.6,88722.2,48,-261043.59792000148,-0.05786304033723629,4,MA20,43.75
357780,20231113,20240109,259017.0,292913.0,17,566521.9340500003,0.12865881254898334,39,MA20,60.0
005930,20240103,20240109,77154.0,74550.6,59,-162177.64652999956,-0.035627105140368515,5,MA20,43.75
064760,20231220,20240110,111121.8,111077.4,43,-11223.039990000427,-0.0023487824171315613,13,MA20,61.25
003580,20240104,20240110,4659.3,4620.74,956,-45477.343508000486,-0.010209783229240554,5,MA20,61.25
