date,equity,n_pos
2021-06-16,96099718.28015006,8
2021-06-17,95895130.28015006,8
2021-06-18,96641616.76015005,7
2021-06-21,95655267.16015005,6
2021-06-22,95531112.46955004,19
2021-06-23,95793590.59455004,18
2021-06-24,98126993.49455005,17
2021-06-25,99934579.49455005,17
2021-06-28,101120975.49455005,17
2021-06-29,100408623.49455005,17
2021-06-30,99252662.43955004,15
2021-07-01,99266670.43955004,15
2021-07-02,98100822.38805005,14
2021-07-05,97320157.27945006,11
2021-07-06,97059067.27945006,11
2021-07-07,97667776.60695004,10
2021-07-08,97249748.60695004,10
2021-07-09,96794797.25945005,7
2021-07-12,96814297.25945005,7
2021-07-13,96023197.25945005,7
2021-07-14,95982887.25945005,7
2021-07-15,95873733.10235004,6
2021-07-16,95374458.45535004,5
2021-07-19,95231738.45535004,5
2021-07-20,95048982.45535004,5
2021-07-21,92247799.07605004,20
2021-07-22,93050544.07605004,20
2021-07-23,93654971.07605004,20
2021-07-26,94601605.07605004,20
2021-07-27,96571317.07605004,20
2021-07-28,96257674.07605004,20
2021-07-29,96147688.07605004,20
2021-07-30,95667714.47210005,19
2021-08-02,93836679.81210005,18
2021-08-03,90796146.97090006,12
2021-08-04,91619461.97090006,12
2021-08-05,92416607.97090006,12
2021-08-06,92195833.07090005,11
2021-08-09,91756493.07090005,11
2021-08-10,91173913.07090005,11
2021-08-11,91227247.32090005,10
2021-08-12,90723253.84090006,9
2021-08-13,90054084.05840006,8
2021-08-17,89506145.77035005,5
2021-08-18,88816195.77035005,5
2021-08-19,88293910.01785006,2
2021-08-20,85636277.58945006,20
2021-08-23,87066866.58945006,20
2021-08-24,90147295.58945006,20
2021-08-25,90051376.58945006,20
2021-08-26,88724340.02645007,19
2021-08-27,88605673.02645007,19
2021-08-30,88173071.98645006,18
2021-08-31,88391674.98645006,18
2021-09-01,90622424.98645006,18
2021-09-02,90652246.41345006,17
2021-09-03,88557723.41345006,17
2021-09-06,89700264.41345006,17
2021-09-07,89891682.07785006,16
2021-09-08,89125675.07785006,16
2021-09-09,90154378.07785006,16
2021-09-10,90320937.07785006,16
2021-09-13,90497754.94660006,12
2021-09-14,90623376.82035007,11
2021-09-15,91022795.98235007,10
2021-09-16,91310402.98235007,10
2021-09-17,93172880.98235007,10
2021-09-23,93216496.07155007,20
2021-09-24,93246246.07155007,20
2021-09-27,95601261.83185005,18
2021-09-28,92841547.24175006,15
2021-09-29,91363013.77425006,12
2021-09-30,89971600.16905007,9
2021-10-01,89485414.16905007,9
2021-10-05,87929164.06005007,5
2021-10-06,86535461.92755008,2
2021-10-07,87420684.92755008,2
2021-10-08,87642539.92755008,2
2021-10-12,85795278.85255007,1
2021-10-13,85799802.85255007,1
2021-10-14,85866531.85255007,1
2021-10-15,86185473.85255007,1
2021-10-18,86031657.85255007,1
2021-10-19,86041836.85255007,1
2021-10-20,86114220.85255007,1
2021-10-21,86179818.85255007,1
2021-10-22,85920819.85255007,1
2021-10-25,85838256.85255007,1
2021-10-26,87271379.49420008,20
2021-10-27,85566877.2942001,19
2021-10-28,83874006.80720009,18
2021-10-29,83237355.47720009,17
2021-11-01,84634932.47720009,17
2021-11-02,85294872.47720009,17
2021-11-03,84403791.1572001,16
2021-11-04,81692230.3057001,13
2021-11-05,81071877.7057001,11
2021-11-08,79423661.6117501,8
2021-11-09,79110896.90375009,6
2021-11-10,78363244.90375009,6
2021-11-11,78340504.90375009,6
2021-11-12,79601712.90375009,6
2021-11-15,79353309.90375009,6
2021-11-16,78698587.5457501,4
2021-11-17,78658892.2682501,3
2021-11-18,78491104.2682501,3
2021-11-19,78887099.67195009,2
2021-11-22,78438599.67195009,2
2021-11-23,78505031.47195008,1
2021-11-24,79606077.14755008,20
