,equity
2025-01-21,273847787.8355135
2025-01-22,273847787.8355135
2025-01-23,273847787.8355135
2025-01-24,273847787.8355135
2025-01-31,273847787.8355135
2025-02-03,273847787.8355135
2025-02-04,273847787.8355135
2025-02-05,273847787.8355135
2025-02-06,273847787.8355135
2025-02-07,273847787.8355135
2025-02-10,273325036.78551346
2025-02-11,275435264.1079154
2025-02-12,275435264.1079154
2025-02-13,275435264.1079154
2025-02-14,275435264.1079154
2025-02-17,275435264.1079154
2025-02-18,275435264.1079154
2025-02-19,275435264.1079154
2025-02-20,273126419.5279154
2025-02-21,272097591.86839545
2025-02-24,272009211.86839545
2025-02-25,271390551.86839545
2025-02-26,271331631.86839545
2025-02-27,271871731.86839545
2025-02-28,269568273.63339543
2025-03-04,269415629.4195554
2025-03-05,267380413.91455543
2025-03-06,267119718.8841328
2025-03-07,266403084.11235288
2025-03-10,266403084.11235288
2025-03-11,266403084.11235288
2025-03-12,266403084.11235288
2025-03-13,266152945.43235287
2025-03-14,265157785.32643288
2025-03-17,263616062.6794329
2025-03-18,264541769.4004649
2025-03-19,263141797.6062249
2025-03-20,266167671.3457449
2025-03-21,265803460.89574492
2025-03-24,265803460.89574492
2025-03-25,264530073.14574492
2025-03-26,263652727.4124227
2025-03-27,263652727.4124227
2025-03-28,263652727.4124227
2025-03-31,263652727.4124227
2025-04-01,263652727.4124227
2025-04-02,261992183.2959227
2025-04-03,260043954.68845904
2025-04-04,258019025.59345904
2025-04-07,262572277.82547444
2025-04-08,260371861.20797446
2025-04-09,257061871.85625762
2025-04-10,256640214.1187576
2025-04-11,255860077.5520576
2025-04-14,255176682.5720576
2025-04-15,254663898.93093762
2025-04-16,254663898.93093762
2025-04-17,254663898.93093762
2025-04-18,252013512.0059376
2025-04-21,254570783.99069762
2025-04-22,252282592.31373763
2025-04-23,252282592.31373763
2025-04-24,250406156.79873762
2025-04-25,249816511.43793762
2025-04-28,250916108.8745497
2025-04-29,250287223.4956697
2025-04-30,250287223.4956697
2025-05-02,250287223.4956697
2025-05-07,250287223.4956697
2025-05-08,250287223.4956697
2025-05-09,247499514.0806697
2025-05-12,246589760.0723497
2025-05-13,242579182.32130966
2025-05-14,252506120.36666965
2025-05-15,247660768.27842966
2025-05-16,247649694.68242967
2025-05-19,246599214.76353368
2025-05-20,250001531.84369367
2025-05-21,249306646.49869367
2025-05-22,246990818.12697366
2025-05-23,234499929.51427367
2025-05-26,242385862.65597367
2025-05-27,240796104.55487368
2025-05-28,237381981.5057671
2025-05-29,237079654.1007671
2025-05-30,236021509.5669671
2025-06-02,233765854.58944708
2025-06-04,235665004.58944708
2025-06-05,227869486.3794471
2025-06-09,235978740.01044708
2025-06-10,231918539.109992
2025-06-11,231172859.109992
2025-06-12,224381074.587492
2025-06-13,231978325.001492
2025-06-16,232398333.588492
2025-06-17,234372794.06881198
2025-06-18,224113807.34128964
2025-06-19,235039543.83300966
2025-06-20,233660369.86540967
2025-06-23,238564191.6746897
2025-06-24,238405241.5996897
2025-06-25,238270312.99308968
2025-06-26,235593974.39148965
2025-06-27,235829088.75507367
2025-06-30,234683536.75507367
2025-07-01,234108069.80707365
2025-07-02,233519479.93207365
2025-07-03,234177179.93207365
2025-07-04,233552419.78207365
2025-07-07,235662545.56305367
2025-07-08,235251461.63805366
2025-07-09,235423561.63805366
2025-07-10,231325598.71555364
2025-07-11,235872198.71555364
2025-07-14,239243205.14653367
2025-07-15,237361828.21417364
2025-07-16,233124517.440552
2025-07-17,233611418.297612
2025-07-18,233262898.297612
2025-07-21,233702750.962072
2025-07-22,231844539.76207203
2025-07-23,231682815.49831203
2025-07-24,231140992.54831204
2025-07-25,233113742.54831204
2025-07-28,230937169.09091204
2025-07-29,231616878.37248015
2025-07-30,231339678.37248015
2025-07-31,231027728.37248015
2025-08-01,229850635.10748017
2025-08-04,230461745.10748017
2025-08-05,230101977.21088016
2025-08-06,230101977.21088016
2025-08-07,230101977.21088016
2025-08-08,230101977.21088016
2025-08-11,227834559.7758802
2025-08-12,234057795.98420018
2025-08-13,233852785.0386167
2025-08-14,233627180.6881767
2025-08-18,231631397.65567666
2025-08-19,233087197.78307667
2025-08-20,229930062.32749668
2025-08-21,229930062.32749668
2025-08-22,228323939.41749668
2025-08-25,230304059.41749668
2025-08-26,230308064.05699667
2025-08-27,230381269.05699667
2025-08-28,229596650.0748567
2025-08-29,230983753.96705672
2025-09-01,230146644.86920473
2025-09-02,229177082.47788474
2025-09-03,229530141.99087226
2025-09-04,228933586.03047228
2025-09-05,224337486.5555123
2025-09-08,230339888.56291232
2025-09-09,224380323.95857233
2025-09-10,235569050.4799323
2025-09-11,235512724.90526032
2025-09-12,238469971.2862203
2025-09-15,236786367.07922032
2025-09-16,236996212.40642032
2025-09-17,234131505.89556032
2025-09-18,240885839.42096832
2025-09-19,239802304.8235283
2025-09-22,241064875.4683283
2025-09-23,238912512.79758328
2025-09-24,237726956.43173397
2025-09-25,235649895.19829395
2025-09-26,238592615.13469395
2025-09-29,236885357.83401397
2025-09-30,237247270.10137397
2025-10-01,229746133.61637396
2025-10-02,238152190.41557395
2025-10-10,243751257.9210117
2025-10-13,243187881.68471166
2025-10-14,240462095.99471167
2025-10-15,243658390.14943168
2025-10-16,244858659.36543167
2025-10-17,244336645.80447167
2025-10-20,241750040.90027168
2025-10-21,244762910.90027168
2025-10-22,242228583.10459167
2025-10-23,241128395.45195168
2025-10-24,235913024.05902684
2025-10-27,237441449.22306684
2025-10-28,236246087.60750684
2025-10-29,236207807.60750684
2025-10-30,237147577.77722684
2025-10-31,236748384.72602683
2025-11-03,235278944.60752687
2025-11-04,235046784.49312288
2025-11-05,232109109.42812288
2025-11-06,230366377.39628288
2025-11-07,228921804.7679829
2025-11-10,228921804.7679829
2025-11-11,225222127.8229829
2025-11-12,229988160.9313829
2025-11-13,229275897.9313829
2025-11-14,228831837.64390287
2025-11-17,228487611.35390288
2025-11-18,229825901.35390288
2025-11-19,228991861.7583429
2025-11-20,228991861.7583429
2025-11-21,228991861.7583429
2025-11-24,228991861.7583429
2025-11-25,228991861.7583429
2025-11-26,228991861.7583429
2025-11-27,226505152.1933429
2025-11-28,231720265.7725429
2025-12-01,227864247.4422629
2025-12-02,231656059.65226287
2025-12-03,229247899.65488285
2025-12-04,233494610.23068285
2025-12-05,235480142.09520283
2025-12-08,236096840.35515034
2025-12-09,231287847.72667032
2025-12-10,234124402.41695032
2025-12-11,228999182.41975033
2025-12-12,230765616.6563703
2025-12-15,226491008.02333033
2025-12-16,221534511.40745032
2025-12-17,221099744.96745032
2025-12-18,221174352.68809032
2025-12-19,215961068.26677033
2025-12-22,222898579.29545033
2025-12-23,220385864.1272811
2025-12-24,221432914.1272811
2025-12-26,220493569.8832811
2025-12-29,226173606.2416811
2025-12-30,220380902.9735842
2026-01-02,224993730.73158422
2026-01-05,220912951.78208792
2026-01-06,218267288.34764794
2026-01-07,218314563.75914794
2026-01-08,217569637.21514794
2026-01-09,212619349.30524796
2026-01-12,223033177.66626245
2026-01-13,220504686.93888244
2026-01-14,223865520.69388244
2026-01-15,210941096.70688245
2026-01-16,230574462.17680243
2026-01-19,217461846.48626244
2026-01-20,232501249.85085043
2026-01-21,214136384.3116504
2026-01-22,219491915.35433042
2026-01-23,215588251.5567904
2026-01-26,216175357.8165704
2026-01-27,213788683.32549042
2026-01-28,216032843.62269038
2026-01-29,214528796.11459038
2026-01-30,214597087.62995037
2026-02-02,207509824.28675038
2026-02-03,213483508.05959037
2026-02-04,211450015.27959037
2026-02-05,214219156.79855037
2026-02-06,211697285.22815037
2026-02-09,212987910.40611038
2026-02-10,206224567.8161104
2026-02-11,203587317.3209904
2026-02-12,202121508.7009904
2026-02-13,209198094.5413104
2026-02-19,200557082.71131042
2026-02-20,202769256.18275043
2026-02-23,200604668.56319046
2026-02-24,204134943.95807046
2026-02-25,198030570.08937046
2026-02-26,205494266.28983045
2026-02-27,205631569.25623044
2026-03-03,205360871.31623045
2026-03-04,205169061.06623045
2026-03-05,204400825.32023045
2026-03-06,204400825.32023045
2026-03-09,204400825.32023045
2026-03-10,203029533.39023045
2026-03-11,204905840.77607045
2026-03-12,203110649.94107047
2026-03-13,211036250.69335046
2026-03-16,208203816.96375045
2026-03-17,207874611.21315044
2026-03-18,210102769.69175044
2026-03-19,209924769.69175044
2026-03-20,211204705.89015043
