ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason
319400,2025-03-27,2025-03-28,3520.0,3388.0,-0.051653005464480706,1,TRAIL_SL_12
086280,2025-03-27,2025-03-28,126000.0,114224.0,-0.10679045884291793,1,TRAIL_SL_12
096770,2025-03-27,2025-04-01,124300.0,111232.0,-0.11829124847781447,3,TRAIL_SL_12
021240,2025-03-27,2025-04-02,86500.0,78320.0,-0.10788034997946871,4,TRAIL_SL_12
053800,2025-03-27,2025-04-04,80800.0,86856.0,0.05914397013471828,6,TRAIL_SL_12
003030,2025-03-27,2025-04-04,243500.0,217800.0,-0.11869660349412592,6,TRAIL_SL_12
138040,2024-09-12,2025-04-07,88300.0,112112.0,0.25100178848807797,133,TRAIL_SL_12
018670,2024-12-18,2025-04-07,208500.0,233200.0,0.10201884394124039,70,TRAIL_SL_12
122870,2025-03-27,2025-04-07,65300.0,59576.0,-0.10107244412087124,7,TRAIL_SL_12
001530,2025-03-27,2025-04-07,42381.0,40857.52,-0.05012307840287744,7,TRAIL_SL_12
033500,2025-03-27,2025-04-07,22850.0,21780.0,-0.060842988843849755,7,TRAIL_SL_12
175330,2025-03-27,2025-04-07,17100.0,16640.8,-0.041163352826510624,7,TRAIL_SL_12
306200,2025-03-27,2025-04-07,186900.0,170896.0,-0.09907397953962682,7,TRAIL_SL_12
035420,2025-03-27,2025-04-08,201000.0,183480.0,-0.10058690155778482,8,TRAIL_SL_12
082920,2025-03-27,2025-04-08,12616.0,11390.72,-0.11039742750120396,8,TRAIL_SL_12
041510,2025-03-27,2025-04-09,104300.0,103224.0,-0.024869119657985328,9,TRAIL_SL_12
352820,2025-03-27,2025-04-09,240000.0,218680.0,-0.10223151183970858,9,TRAIL_SL_12
253450,2025-03-27,2025-04-09,47300.0,44704.0,-0.06878110883905775,9,TRAIL_SL_12
035900,2025-03-27,2025-06-30,62600.0,74300.0,0.16944826677713087,62,REBALANCE
017960,2025-03-27,2025-06-30,14270.0,26000.0,0.7952126872595127,62,REBALANCE
048910,2025-07-01,2025-06-30,12420.0,11061.6,-0.12246815026002478,-1,TRAIL_SL_12
016590,2025-07-01,2025-07-01,12410.0,11774.4,-0.0651680691140143,0,TRAIL_SL_12
