ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason,source
408900,2024-09-30,2024-09-27,3800.0,3681.0,-0.04555973017491555,-436850.51609999913,-1,SAT2_TRAIL,SAT2
085670,2024-09-30,2024-09-27,6670.0,6480.0,-0.042771311810562596,-410034.49199999886,-1,SAT2_TRAIL,SAT2
000120,2024-09-12,2024-09-30,104400.0,94860.0,-0.10474005173270295,-990534.4199999995,9,SAT1_TRAIL,SAT1
289220,2024-10-02,2024-09-30,8500.0,8685.0,0.0067402472166213645,64295.91750000086,-1,SAT1_TRAIL,SAT1
009540,2024-09-12,2024-10-02,176000.0,179520.0,0.005001490312965595,74422.65599999973,10,CORE_TRAIL,CORE
329180,2024-09-12,2024-10-02,181700.0,179080.0,-0.028911765325056904,-428280.53399999917,10,CORE_TRAIL,CORE
000440,2024-10-07,2024-10-04,27950.0,25200.0,-0.11164763562781099,-1064743.0649999997,-1,SAT2_TRAIL,SAT2
036560,2024-10-07,2024-10-04,34200.0,30780.0,-0.11323397913561828,-1079683.3979999984,-1,SAT2_TRAIL,SAT2
091810,2024-10-11,2024-10-10,3586.0,3420.9,-0.06006758357347619,-568456.076339999,-1,SAT1_TRAIL,SAT1
051980,2024-10-11,2024-10-10,14850.0,13608.0,-0.09711096057444779,-918781.396199999,-1,SAT2_TRAIL,SAT2
039860,2024-10-11,2024-10-10,4090.0,3843.0,-0.07420760168926421,-702302.8880999995,-1,SAT2_TRAIL,SAT2
009420,2024-10-11,2024-10-14,42300.0,42795.0,-0.0031743666169894436,-30002.966999999044,1,SAT1_TRAIL,SAT1
036000,2024-10-16,2024-10-15,2570.0,3195.0,0.2249102622834842,2125229.5544999996,-1,SAT2_TRAIL,SAT2
053280,2024-10-16,2024-10-15,8450.0,9342.0,0.08930547888429352,843844.940400001,-1,SAT2_TRAIL,SAT2
095700,2024-10-18,2024-10-17,9660.0,9207.0,-0.06090927604113616,-580956.146099998,-1,SAT1_TRAIL,SAT1
445680,2024-10-18,2024-10-17,25650.0,25380.0,-0.025075953669568718,-238882.85099999895,-1,SAT1_TRAIL,SAT1
086790,2024-09-12,2024-10-18,57500.0,65600.0,0.12409373852567018,1845714.890000001,20,CORE_REBAL,CORE
032300,2024-10-21,2024-10-18,22850.0,22185.0,-0.04337932541326017,-412033.78649999923,-1,SAT2_TRAIL,SAT2
348150,2024-10-21,2024-10-18,7720.0,7668.0,-0.021341127232573753,-202969.0655999994,-1,SAT2_TRAIL,SAT2
037270,2024-10-24,2024-10-23,5330.0,5157.0,-0.04668493441784116,-443543.5850999993,-1,SAT2_TRAIL,SAT2
024740,2024-10-24,2024-10-23,3520.0,3316.5,-0.07166682190760054,-680978.439899999,-1,SAT2_TRAIL,SAT2
007390,2024-10-25,2024-10-24,14210.0,12861.0,-0.10824162996819053,-1026397.7918999991,-1,SAT1_TRAIL,SAT1
083650,2024-10-25,2024-10-24,11610.0,10692.0,-0.09261151353412123,-878753.3831999999,-1,SAT1_TRAIL,SAT1
037270,2024-10-29,2024-10-28,6400.0,6417.0,-0.012087229880774819,-114144.37259999878,-1,SAT2_TRAIL,SAT2
